first_name;last_name;date_of_birth;year_of_birth;street_address;email;gender;region;campus;age_of_entry;previous_level;entry_level;year_of_entry;year_of_exit;study_lenght;level_of_exit;still_student;level;contratPro;is_hired;lenght_month_hired;nbre_absence;speciality;company_hired;entreprise_alternance;entreprise_alternance_address;poste_occupe;secteur_activite_entreprise_alternance;date_debut_alternance
Sunny;Jessel;02/10/1979;1979;40 Nova Crossing;sunnyjessel@supinfo.com;Male;Normandie;Distanciel;22;Bac;B.ENG 1;2001;2003;2;B.ENG 2;false;;false;true;3;4;;Wavestone;;;;;
Kesley;Benedek;13/03/1981;1981;9 Packers Parkway;kesleybenedek@supinfo.com;Male;Centre-Val de Loire;Distanciel;37;Bac;B.ENG 1;2018;;4;;true;M.ENG 1;true;;;0;Intelligence Artificielle;;Adobe;3 Holy Cross Avenue;;Software;2021-11-11 13:14:55 UTC
Helen-elizabeth;Clarycott;27/10/1990;1990;9 Forest Dale Way;helen-elizabethclarycott@supinfo.com;Female;Bretagne;Distanciel;16;Licence;B.ENG 1;2006;2011;5;M.ENG 2;false;;false;true;4;3;;Adobe;;;;;
Nelson;Fairest;11/06/1982;1982;8410 Del Mar Place;nelsonfairest@supinfo.com;Male;Hauts-de-France;Distanciel;23;DUT;B.ENG 1;2005;2010;5;M.ENG 2;false;;false;true;4;3;;Dassault;;;;;
Petronilla;McKeevers;18/01/1984;1984;78802 Riverside Drive;petronillamckeevers@supinfo.com;Male;Centre-Val de Loire;Tours;27;Bac;B.ENG 1;2011;2017;6;M.ENG 2;false;;false;true;3;6;;Renault;;;;;
Rolf;Scranny;25/06/1995;1995;92 Myrtle Street;rolfscranny@supinfo.com;Female;Hauts-de-France;Distanciel;18;Bac;B.ENG 1;2013;2018;5;M.ENG 2;false;;false;true;2;0;;BNP;;;;;
Thoma;Leopold;15/04/2000;2000;8 Knutson Terrace;thomaleopold@supinfo.com;Female;Hauts-de-France;Distanciel;17;Bac;B.ENG 1;2017;2020;3;B.ENG 3;false;;false;true;4;2;;BNP;;;;;
Tess;Muncey;22/08/1990;1990;71 Loftsgordon Pass;tessmuncey@supinfo.com;Male;Pays de la Loire;Distanciel;16;Bac;B.ENG 1;2006;2009;3;B.ENG 3;false;;false;true;1;5;;Google;;;;;
Camile;Tolliday;29/12/1984;1984;28 Hazelcrest Drive;camiletolliday@supinfo.com;Female;Centre-Val de Loire;Tours;18;Bac;B.ENG 1;2002;2004;2;B.ENG 1;false;;false;true;5;0;;Microsoft;;;;;
Dav;Squibbs;10/11/1984;1984;9 Esker Parkway;davsquibbs@supinfo.com;Female;Pays de la Loire;Distanciel;16;Bac;B.ENG 1;2000;2001;1;B.ENG 1;false;;false;true;2;5;;HSBC;;;;;
Rich;Murdoch;16/05/1995;1995;48 Fieldstone Way;richmurdoch@supinfo.com;Male;Centre-Val de Loire;Tours;16;Bac;B.ENG 1;2011;2015;4;M.ENG 1;false;;false;true;2;2;;Osiatis;;;;;
Mano;Excell;06/04/1994;1994;7202 Rusk Street;manoexcell@supinfo.com;Male;Pays de la Loire;Distanciel;24;Bac;B.ENG 1;2018;;4;;true;M.ENG 1;false;;;0;Intelligence Artificielle;;;;;;2021-11-09 07:57:35 UTC
Orly;Giacobilio;06/02/1998;1998;4 Stang Circle;orlygiacobilio@supinfo.com;Female;Hauts-de-France;Distanciel;16;Bac;B.ENG 1;2014;2017;3;B.ENG 3;false;;false;true;2;0;;HSBC;;;;;
Raoul;Walkowski;10/07/1975;1975;530 Cody Lane;raoulwalkowski@supinfo.com;Female;Hauts-de-France;Distanciel;28;Master;M.ENG 1;2003;2008;5;M.ENG 2;false;;false;true;4;3;;Adobe;;;;;
Martelle;Crowley;21/05/1984;1984;07778 Northwestern Way;martellecrowley@supinfo.com;Male;Centre-Val de Loire;Tours;21;Bac;B.ENG 1;2005;2007;2;B.ENG 2;false;;false;true;2;1;;Microsoft;;;;;
Andra;Itzik;02/10/1985;1985;6017 Parkside Point;andraitzik@supinfo.com;Male;Pays de la Loire;Distanciel;28;Licence;M.ENG 1;2013;2015;2;M.ENG 2;false;;false;;;4;;;;;;;
Isidore;Jouannin;29/09/1993;1993;9869 Wayridge Hill;isidorejouannin@supinfo.com;Male;Hauts-de-France;Distanciel;16;Bac;B.ENG 1;2009;2014;5;M.ENG 2;false;;false;true;2;1;;Sage;;;;;
Carlyn;Nesby;01/01/1999;1999;85 Hoard Trail;carlynnesby@supinfo.com;Male;Pays de la Loire;Distanciel;16;Bac;B.ENG 1;2015;2016;1;B.ENG 1;false;;false;true;2;0;;Wavestone;;;;;
Marji;Galliard;10/01/1997;1997;343 Lindbergh Crossing;marjigalliard@supinfo.com;Male;Bretagne;Distanciel;18;CAP;B.ENG 2;2015;2018;3;M.ENG 1;false;;false;false;;8;;;;;;;
Oneida;Klimschak;03/11/1986;1986;39 Emmet Terrace;oneidaklimschak@supinfo.com;Female;Grand Est;Distanciel;31;Licence;M.ENG 1;2017;2018;1;M.ENG 1;false;;false;true;3;3;;HSBC;;;;;
Olympia;Bugg;15/04/2001;2001;4 Mesta Street;olympiabugg@supinfo.com;Female;Hauts-de-France;Distanciel;16;Bac;B.ENG 1;2017;;5;;true;M.ENG 2;true;;;0;Intelligence Artificielle;;Cegedim;68 Pond Trail;;Consulting;2020-11-17 15:31:41 UTC
Minne;Mougenel;05/01/1979;1979;8 Golden Leaf Road;minnemougenel@supinfo.com;Female;Grand Est;Distanciel;18;Bac;B.ENG 1;1997;2002;5;M.ENG 2;false;;false;true;3;2;;BNP;;;;;
Theressa;Reneke;14/05/1977;1977;64843 Autumn Leaf Road;theressareneke@supinfo.com;Male;Grand Est;Distanciel;25;Bac;B.ENG 1;2002;2003;1;B.ENG 1;false;;false;true;3;7;;Total;;;;;
Zacharia;Strathe;07/05/1976;1976;80534 Bunker Hill Junction;zachariastrathe@supinfo.com;Male;Bretagne;Distanciel;28;Licence;B.ENG 1;2004;2005;1;B.ENG 1;false;;false;true;;3;;Samsung;;;;;
Doyle;MacConnechie;19/05/1997;1997;19 Esker Parkway;doylemacconnechie@supinfo.com;Female;Pays de la Loire;Distanciel;17;Bac;B.ENG 1;2014;2017;3;B.ENG 3;false;;false;true;4;0;;LaPoste;;;;;
Lorna;Bonhome;13/06/1997;1997;08573 Northwestern Point;lornabonhome@supinfo.com;Male;Pays de la Loire;Distanciel;18;Bac;B.ENG 1;2015;2019;4;M.ENG 1;false;;false;true;2;3;;Altran;;;;;
Elysia;Westphal;26/01/1979;1979;2296 Lien Park;elysiawestphal@supinfo.com;Male;Hauts-de-France;Distanciel;37;Master;M.ENG 1;2016;;6;;true;M.ENG 2;true;;;4;Data Engineering;;Adobe;3 Holy Cross Avenue;;Software;2020-11-17 17:31:52 UTC
Bone;Balfe;15/10/1987;1987;41 Hagan Parkway;bonebalfe@supinfo.com;Female;Grand Est;Distanciel;26;Bac;B.ENG 1;2013;2015;2;B.ENG 2;false;;false;true;5;0;;Altran;;;;;
Kippy;Shoveller;06/06/1994;1994;28 Macpherson Place;kippyshoveller@supinfo.com;Male;Normandie;Caen;21;Bac;B.ENG 1;2015;2018;3;B.ENG 3;false;;false;true;3;0;;BNP;;;;;
Sidney;Melbourne;31/01/2001;2001;48378 Walton Plaza;sidneymelbourne@supinfo.com;Male;Bretagne;Distanciel;16;Bac;B.ENG 1;2017;;5;;true;M.ENG 2;true;;;2;Intelligence Artificielle;;Insight;1818 Quincy Street;;Consulting;2020-11-10 05:46:37 UTC
Morganica;Spira;11/06/2001;2001;43 Mosinee Center;morganicaspira@supinfo.com;Female;Pays de la Loire;Distanciel;16;Bac;B.ENG 1;2017;2020;3;B.ENG 3;false;;false;true;3;0;;Cegid;;;;;
Andras;January 1st;28/09/1978;1978;15705 Pierstorff Point;andrasjanuary 1st@supinfo.com;Female;Centre-Val de Loire;Tours;26;Licence;B.ENG 3;2004;2008;4;M.ENG 2;false;;false;false;;0;;;;;;;
Selie;Neubigging;04/02/2001;2001;4754 Stuart Center;selieneubigging@supinfo.com;Male;Hauts-de-France;Distanciel;18;Bac;B.ENG 1;2019;;3;;true;B.ENG 3;false;;;3;;;;;;;
Eolande;Leijs;15/10/1984;1984;5 Tennessee Pass;eolandeleijs@supinfo.com;Male;Normandie;Caen;36;Master;M.ENG 1;2020;;2;;true;M.ENG 2;true;;;2;Intelligence Artificielle;;Facebook;5405 East Plaza;;Social Networking;2020-11-16 14:47:15 UTC
Prissie;Mebius;29/01/1998;1998;2419 Crescent Oaks Plaza;prissiemebius@supinfo.com;Male;Pays de la Loire;Distanciel;16;Bac;B.ENG 1;2014;2016;2;B.ENG 2;false;;false;true;;4;;Dassault;;;;;
Derick;Haburne;25/02/1980;1980;637 Hanover Terrace;derickhaburne@supinfo.com;Female;Centre-Val de Loire;Distanciel;33;DUT;M.ENG 1;2013;2019;6;M.ENG 2;false;;false;true;4;1;;Insight;;;;;
Marlon;Ogbourne;31/05/1997;1997;0 Maywood Alley;marlonogbourne@supinfo.com;Female;Pays de la Loire;Distanciel;20;Bac;B.ENG 1;2017;;5;;true;M.ENG 2;true;;;4;Intelligence Artificielle;;Osiatis;7395 Hollow Ridge Crossing;;Consulting;2020-11-15 17:31:29 UTC
Michaeline;Saddleton;01/09/1979;1979;87357 Hanover Street;michaelinesaddleton@supinfo.com;Male;Bretagne;Distanciel;22;Bac;B.ENG 1;2001;2003;2;B.ENG 2;false;;false;true;3;3;;Axway;;;;;
Lydia;Hackelton;06/05/1978;1978;50 Reindahl Point;lydiahackelton@supinfo.com;Male;Nouvelle-Aquitaine;Distanciel;40;Bac;B.ENG 1;2018;;4;;true;M.ENG 1;true;;;4;Intelligence Artificielle;;EDF;695 1st Park;;Industrie;2021-11-13 09:31:26 UTC
Allyce;Balentyne;05/07/1979;1979;5 Lien Road;allycebalentyne@supinfo.com;Male;Normandie;Caen;16;Bac;B.ENG 1;1995;1997;2;B.ENG 2;false;;false;true;2;2;;Samsung;;;;;
Jeffry;Weth;18/04/2002;2002;54457 Talisman Trail;jeffryweth@supinfo.com;Female;Pays de la Loire;Distanciel;17;Bac;B.ENG 1;2019;;3;;true;B.ENG 3;true;;;2;;;KPMG;882 Calypso Court;;Consulting;
Emlynn;Cropton;15/10/1990;1990;975 Loomis Hill;emlynncropton@supinfo.com;Female;Pays de la Loire;Distanciel;27;Master;M.ENG 1;2017;2019;2;M.ENG 2;false;;false;true;2;1;;Sopra Steria;;;;;
Zeke;Knevet;05/07/1980;1980;038 Blue Bill Park Point;zekeknevet@supinfo.com;Male;Bretagne;Distanciel;36;Bac;B.ENG 1;2016;2017;1;B.ENG 1;false;;false;true;4;1;;Nextieraone;;;;;
Faye;Lorincz;16/12/1989;1989;75 Moose Terrace;fayelorincz@supinfo.com;Male;Normandie;Caen;16;Bac;B.ENG 1;2005;2010;5;M.ENG 2;false;;false;true;4;3;;Neuronnes;;;;;
Brett;Gillebride;28/08/1978;1978;8493 Maple Wood Alley;brettgillebride@supinfo.com;Male;Hauts-de-France;Distanciel;21;DUT;B.ENG 1;1999;2002;3;B.ENG 3;false;;false;true;2;0;;Tesla;;;;;
Leandra;Oxborough;20/12/2002;2002;30 Hallows Point;leandraoxborough@supinfo.com;Female;Nouvelle-Aquitaine;Distanciel;18;Bac;B.ENG 1;2020;;2;;true;B.ENG 2;false;;;5;;;;;;;
Vladamir;Zannutti;02/03/1989;1989;2818 Vahlen Crossing;vladamirzannutti@supinfo.com;Female;Bretagne;Distanciel;21;Bac;B.ENG 1;2010;2013;3;B.ENG 3;false;;false;true;2;3;;Apple;;;;;
Birk;Cullotey;10/06/1986;1986;1492 Jackson Place;birkcullotey@supinfo.com;Male;Centre-Val de Loire;Tours;20;DUT;B.ENG 2;2006;2010;4;M.ENG 2;false;;false;true;1;4;;Peugeot;;;;;
Clyde;Rockwill;20/01/1985;1985;97 Dakota Plaza;clyderockwill@supinfo.com;Male;Normandie;Caen;16;Bac;B.ENG 1;2001;2003;2;B.ENG 2;false;;false;true;;6;;Adobe;;;;;
Carissa;Wemyss;07/03/1993;1993;0787 Shasta Plaza;carissawemyss@supinfo.com;Male;Hauts-de-France;Distanciel;18;Bac;B.ENG 1;2011;2017;6;M.ENG 2;false;;false;true;3;1;;Total;;;;;
Iona;Vasishchev;19/12/1982;1982;14816 Burning Wood Park;ionavasishchev@supinfo.com;Male;Centre-Val de Loire;Distanciel;18;Bac;B.ENG 1;2000;2006;6;M.ENG 2;false;;false;true;4;1;;Altran;;;;;
Symon;Mounsey;07/12/1977;1977;44 Haas Circle;symonmounsey@supinfo.com;Male;Normandie;Caen;17;Bac;B.ENG 1;1994;2000;6;M.ENG 2;false;;false;true;3;4;;Carrefour;;;;;
Briana;Langeley;10/01/1987;1987;6 Haas Avenue;brianalangeley@supinfo.com;Female;Centre-Val de Loire;Tours;16;Bac;B.ENG 1;2003;2004;1;B.ENG 1;false;;false;true;;3;;Sopra Steria;;;;;
Shandeigh;Son;02/04/2001;2001;46 Cordelia Avenue;shandeighson@supinfo.com;Female;Normandie;Caen;18;Bac;B.ENG 1;2019;;3;;true;B.ENG 3;false;;;1;;;;;;;
Taylor;Yabsley;01/03/1997;1997;625 Kedzie Crossing;tayloryabsley@supinfo.com;Female;Bretagne;Distanciel;16;Licence;B.ENG 3;2013;2016;3;M.ENG 2;false;;false;true;;1;;Accenture;;;;;
Lowe;Thorneloe;15/12/1982;1982;14 Monterey Alley;lowethorneloe@supinfo.com;Male;Normandie;Caen;35;CAP;B.ENG 2;2017;2020;3;M.ENG 1;false;;false;true;5;3;;Carrefour;;;;;
Siusan;Mollon;28/04/2002;2002;44 Northport Lane;siusanmollon@supinfo.com;Female;Nouvelle-Aquitaine;Distanciel;17;Bac;B.ENG 1;2019;;3;;true;B.ENG 3;false;;;2;;;;;;;
Lola;Paskin;13/09/1978;1978;0 Ruskin Hill;lolapaskin@supinfo.com;Male;Corse;Distanciel;39;DUT;M.ENG 1;2017;;5;;true;M.ENG 2;true;;;4;Systemes Reseaux et securité;;Natixis;4744 Ludington Center;;Consulting;2020-11-06 14:54:12 UTC
Linoel;Abercrombie;17/11/1993;1993;48218 Pierstorff Pass;linoelabercrombie@supinfo.com;Male;Grand Est;Distanciel;16;Bac;B.ENG 1;2009;2013;4;M.ENG 1;false;;false;true;2;5;;Alten;;;;;
Dar;Kimber;20/05/1994;1994;713 Badeau Circle;darkimber@supinfo.com;Female;Corse;Distanciel;22;Bac;B.ENG 1;2016;2017;1;B.ENG 1;false;;false;true;4;4;;Dassault;;;;;
Trude;Snarie;15/02/1998;1998;18704 Bellgrove Circle;trudesnarie@supinfo.com;Male;Normandie;Distanciel;16;Bac;B.ENG 1;2014;2018;4;M.ENG 1;false;;false;true;3;5;;Altran;;;;;
Wilone;Kalewe;03/04/1976;1976;040 Wayridge Circle;wilonekalewe@supinfo.com;Male;Hauts-de-France;Distanciel;16;Bac;B.ENG 1;1992;1993;1;B.ENG 1;false;;false;true;2;0;;Banque de France;;;;;
